source,relationship,target
Plant_Moringa_Oleifera,HAS_PART,Part_Leaves
Plant_Moringa_Oleifera,HAS_PROFILE,v17.1:Plant_Moringa_Oleifera:profile
Plant_Moringa_Oleifera,TRADITIONALLY_USED_FOR,Condition_Condition_Malnutrition
Plant_Moringa_Oleifera,TRADITIONALLY_USED_FOR,Condition_Condition_Immune_Deficiency
Plant_Acacia_Senegal,HAS_PART,Part_Gum
Plant_Acacia_Senegal,HAS_PROFILE,v17.1:Plant_Acacia_Senegal:profile
Plant_Acacia_Senegal,TRADITIONALLY_USED_FOR,Condition_Condition_Sore_Throat
Plant_Acacia_Senegal,TRADITIONALLY_USED_FOR,Condition_Condition_Inflammation
Plant_Vernonia_Amygdalina,HAS_PART,Part_Leaves
Plant_Vernonia_Amygdalina,HAS_PROFILE,v17.1:Plant_Vernonia_Amygdalina:profile
Plant_Vernonia_Amygdalina,TRADITIONALLY_USED_FOR,Condition_Condition_Digestive_Issues
Plant_Vernonia_Amygdalina,TRADITIONALLY_USED_FOR,Condition_Condition_Diarrhea
Plant_Vernonia_Amygdalina,TRADITIONALLY_USED_FOR,Condition_Stomachache
Plant_Ocimum_Gratissimum,HAS_PART,Part_Leaves
Plant_Ocimum_Gratissimum,HAS_PROFILE,v17.1:Plant_Ocimum_Gratissimum:profile
Plant_Ocimum_Gratissimum,TRADITIONALLY_USED_FOR,Condition_Condition_Colds
Plant_Ocimum_Gratissimum,TRADITIONALLY_USED_FOR,Condition_Condition_Stomachache
Plant_Ocimum_Gratissimum,TRADITIONALLY_USED_FOR,Condition_Condition_Digestive_Issues
Plant_Azadirachta_Indica,HAS_PART,Part_Leaves
Plant_Azadirachta_Indica,HAS_PROFILE,v17.1:Plant_Azadirachta_Indica:profile
Plant_Azadirachta_Indica,TRADITIONALLY_USED_FOR,Condition_Condition_Skin_Ailments
Plant_Azadirachta_Indica,TRADITIONALLY_USED_FOR,Condition_Mosquito_Repellent
Plant_Curcuma_Longa,HAS_PART,Part_Rhizome
Plant_Curcuma_Longa,HAS_PROFILE,v17.1:Plant_Curcuma_Longa:profile
Plant_Curcuma_Longa,TRADITIONALLY_USED_FOR,Condition_Condition_Joint_Pain
Plant_Curcuma_Longa,TRADITIONALLY_USED_FOR,Condition_Condition_Stomach_Problems
Plant_Carica_Papaya,HAS_PART,Part_Leaves
Plant_Carica_Papaya,HAS_PROFILE,v17.1:Plant_Carica_Papaya:profile
Plant_Carica_Papaya,TRADITIONALLY_USED_FOR,Condition_Condition_Malaria
Plant_Carica_Papaya,TRADITIONALLY_USED_FOR,Condition_Condition_Typhoid
Plant_Persea_Americana,HAS_PART,Part_Seed
Plant_Persea_Americana,HAS_PROFILE,v17.1:Plant_Persea_Americana:profile
Plant_Persea_Americana,TRADITIONALLY_USED_FOR,Condition_Condition_Hypertension
Plant_Persea_Americana,TRADITIONALLY_USED_FOR,Condition_Condition_Arthritis
Plant_Persea_Americana,TRADITIONALLY_USED_FOR,Condition_Menstrual_Health
Plant_Persea_Americana,TRADITIONALLY_USED_FOR,Condition_Post_Childbirth_Context
Plant_Solanum_Melongena,HAS_PART,Part_Leaves
Plant_Solanum_Melongena,HAS_PROFILE,v17.1:Plant_Solanum_Melongena:profile
Plant_Solanum_Melongena,TRADITIONALLY_USED_FOR,Condition_Condition_Blood_Building
Plant_Telfairia_Occidentalis,HAS_PART,Part_Leaves
Plant_Telfairia_Occidentalis,HAS_PROFILE,v17.1:Plant_Telfairia_Occidentalis:profile
Plant_Telfairia_Occidentalis,TRADITIONALLY_USED_FOR,Condition_Condition_Blood_Building
Plant_Pearl_Millet,HAS_PART,Plant_Whole
Plant_Pearl_Millet,HAS_PROFILE,v17.1:Plant_Pearl_Millet:profile
Plant_Pearl_Millet,TRADITIONALLY_USED_FOR,Condition_Condition_Immunity_Building
Plant_Fonio,HAS_PART,Plant_Whole
Plant_Fonio,HAS_PROFILE,v17.1:Plant_Fonio:profile
Plant_Fonio,TRADITIONALLY_USED_FOR,Condition_Condition_Nutritional_Density
Plant_Fonio,TRADITIONALLY_USED_FOR,Condition_Condition_Drought_Resilience
Plant_Teff,HAS_PART,Plant_Whole
Plant_Teff,HAS_PROFILE,v17.1:Plant_Teff:profile
Plant_Teff,TRADITIONALLY_USED_FOR,Condition_Condition_Anemia
Plant_Teff,TRADITIONALLY_USED_FOR,Condition_Condition_Mineral_Deficiency
Plant_Finger_Millet,HAS_PART,Plant_Whole
Plant_Finger_Millet,HAS_PROFILE,v17.1:Plant_Finger_Millet:profile
Plant_Finger_Millet,TRADITIONALLY_USED_FOR,Condition_Condition_Calcium_Nutrition
Plant_Baobab_Fruit,HAS_PART,Part_Fruit
Plant_Baobab_Fruit,HAS_PROFILE,v17.1:Plant_Baobab_Fruit:profile
Plant_Baobab_Fruit,TRADITIONALLY_USED_FOR,Condition_Condition_Immunity
Plant_Baobab_Fruit,TRADITIONALLY_USED_FOR,Condition_Condition_Vitamin_C_Deficiency
Plant_Tamarind,HAS_PART,Part_Fruit
Plant_Tamarind,HAS_PROFILE,v17.1:Plant_Tamarind:profile
Plant_Tamarind,TRADITIONALLY_USED_FOR,Condition_Condition_Digestive_Issues
Plant_Vigna_Subterranea,HAS_PART,Part_Seed
Plant_Vigna_Subterranea,HAS_PROFILE,v17.1:Plant_Vigna_Subterranea:profile
Plant_Vigna_Subterranea,TRADITIONALLY_USED_FOR,Condition_Condition_Protein_Deficiency
Plant_Vigna_Subterranea,TRADITIONALLY_USED_FOR,Condition_Condition_Drought_Resilience
Plant_Ewedu,HAS_PART,Part_Leaves
Plant_Ewedu,HAS_PROFILE,v17.1:Plant_Ewedu:profile
Plant_Ewedu,TRADITIONALLY_USED_FOR,Condition_Condition_Nutritional_Density
Plant_Ewedu,TRADITIONALLY_USED_FOR,Condition_Condition_Blood_Building
v17.1:Plant_Moringa_Oleifera:profile,DERIVED_FROM,V17.0
v17.1:Plant_Acacia_Senegal:profile,DERIVED_FROM,V17.0
v17.1:Plant_Vernonia_Amygdalina:profile,DERIVED_FROM,V17.0
v17.1:Plant_Ocimum_Gratissimum:profile,DERIVED_FROM,V17.0
v17.1:Plant_Azadirachta_Indica:profile,DERIVED_FROM,V17.0
v17.1:Plant_Curcuma_Longa:profile,DERIVED_FROM,V17.0
v17.1:Plant_Carica_Papaya:profile,DERIVED_FROM,V17.0
v17.1:Plant_Persea_Americana:profile,DERIVED_FROM,V17.0
v17.1:Plant_Solanum_Melongena:profile,DERIVED_FROM,V17.0
v17.1:Plant_Telfairia_Occidentalis:profile,DERIVED_FROM,V17.0
v17.1:Plant_Pearl_Millet:profile,DERIVED_FROM,V17.0
v17.1:Plant_Fonio:profile,DERIVED_FROM,V17.0
v17.1:Plant_Teff:profile,DERIVED_FROM,V17.0
v17.1:Plant_Finger_Millet:profile,DERIVED_FROM,V17.0
v17.1:Plant_Baobab_Fruit:profile,DERIVED_FROM,V17.0
v17.1:Plant_Tamarind:profile,DERIVED_FROM,V17.0
v17.1:Plant_Vigna_Subterranea:profile,DERIVED_FROM,V17.0
v17.1:Plant_Ewedu:profile,DERIVED_FROM,V17.0
v17.1:qa:001,DERIVED_FROM,V17.0
v17.1:qa:002,DERIVED_FROM,V17.0
v17.1:qa:003,DERIVED_FROM,V17.0
v17.1:qa:004,DERIVED_FROM,V17.0
v17.1:qa:005,DERIVED_FROM,V17.0
v17.1:qa:006,DERIVED_FROM,V17.0
v17.1:qa:007,DERIVED_FROM,V17.0
v17.1:qa:008,DERIVED_FROM,V17.0
v17.1:qa:009,DERIVED_FROM,V17.0
v17.1:qa:010,DERIVED_FROM,V17.0
v17.1:qa:011,DERIVED_FROM,V17.0
v17.1:qa:012,DERIVED_FROM,V17.0
v17.1:qa:013,DERIVED_FROM,V17.0
v17.1:qa:014,DERIVED_FROM,V17.0
v17.1:qa:015,DERIVED_FROM,V17.0
v17.1:qa:016,DERIVED_FROM,V17.0
v17.1:Diet_Maat_Dietary_System:system,DERIVED_FROM,V17.0
v17.1:System_Igbo_Traditional_Medicine:system,DERIVED_FROM,V17.0
v17.1:System_Uganda_Spices_And_Herbs:system,DERIVED_FROM,V17.0
v17.1:System_Uganda_Remedies:system,DERIVED_FROM,V17.0
v17.1:Process_Decoction:process,DERIVED_FROM,V17.0
v17.1:Process_Poultice:process,DERIVED_FROM,V17.0
v17.1:Process_Baths:process,DERIVED_FROM,V17.0
v17.1:Process_Preservation:process,DERIVED_FROM,V17.0
v17.1:Process_Incense:process,DERIVED_FROM,V17.0
