id,label,name,type,epistemic_status,source_version
Plant_Moringa_Oleifera,Entity,Moringa oleifera,Plant,TRADITION,V17.0
Plant_Acacia_Senegal,Entity,Acacia senegal,Plant,TRADITION,V17.0
Plant_Vernonia_Amygdalina,Entity,Vernonia amygdalina,Plant,TRADITION,V17.0
Plant_Ocimum_Gratissimum,Entity,Ocimum gratissimum,Plant,CULTURAL_TRADITION,V17.0
Plant_Azadirachta_Indica,Entity,Azadirachta indica,Plant,TRADITION,V17.0
Plant_Curcuma_Longa,Entity,Curcuma longa,Plant,TRADITION,V17.0
Plant_Carica_Papaya,Entity,Carica papaya,Plant,TRADITION,V17.0
Plant_Persea_Americana,Entity,Persea americana,Plant,TRADITION,V17.0
Plant_Solanum_Melongena,Entity,Solanum melongena,Plant,TRADITION,V17.0
Plant_Telfairia_Occidentalis,Entity,Telfairia occidentalis,Plant,TRADITION,V17.0
Plant_Pearl_Millet,Entity,Pearl millet,Plant,NUTRITIONAL_CLAIM,V17.0
Plant_Fonio,Entity,Fonio,Plant,NUTRITIONAL_CLAIM,V17.0
Plant_Teff,Entity,Teff,Plant,NUTRITIONAL_CLAIM,V17.0
Plant_Finger_Millet,Entity,Finger millet,Plant,NUTRITIONAL_CLAIM,V17.0
Plant_Baobab_Fruit,Entity,Baobab fruit,Plant,NUTRITIONAL_CLAIM,V17.0
Plant_Tamarind,Entity,Tamarind,Plant,TRADITION,V17.0
Plant_Vigna_Subterranea,Entity,Vigna subterranea,Plant,NUTRITIONAL_CLAIM,V17.0
Plant_Ewedu,Entity,Jute mallow,Plant,TRADITION,V17.0
v17.1:Plant_Moringa_Oleifera:profile,Chunk,v17.1:Plant_Moringa_Oleifera:profile,PLANT_PROFILE,TRADITION,V17.0
v17.1:Plant_Acacia_Senegal:profile,Chunk,v17.1:Plant_Acacia_Senegal:profile,PLANT_PROFILE,TRADITION,V17.0
v17.1:Plant_Vernonia_Amygdalina:profile,Chunk,v17.1:Plant_Vernonia_Amygdalina:profile,PLANT_PROFILE,TRADITION,V17.0
v17.1:Plant_Ocimum_Gratissimum:profile,Chunk,v17.1:Plant_Ocimum_Gratissimum:profile,PLANT_PROFILE,CULTURAL_TRADITION,V17.0
